Sıra;Türkçe Anlamı;Kelimenin İngilizcesi;Fonetik (IPA);Türkçe Okunuşu;Örnek Cümle (İngilizce);Örnek Cümle (Türkçe)
1;Bir (belgisiz tanım edatı);a, an;/ə/, /æn/;e / en;I need a pen to write.;Yazmak için bir kaleme ihtiyacım var.
2;Terk etmek, bırakmak;abandon (v.);/əˈbændən/;ebendın;They had to abandon their car.;Arabalarını terk etmek zorunda kaldılar.
3;Yetenek, kabiliyet;ability (n.);/əˈbɪləti/;ebiliti;She has the ability to learn fast.;Hızlı öğrenme yeteneğine sahip.
4;Yapabilen, muktedir;able (adj.);/ˈeɪbl/;eybıl;Will you be able to come?;Gelebilecek misin?
5;Hakkında, yaklaşık;about (prep., adv.);/əˈbaʊt/;ebaut;Tell me about your holiday.;Bana tatilin hakkında bilgi ver.
6;Yukarıda, üzerinde;above (prep., adv.);/əˈbʌv/;ebav;The plane is flying above the clouds.;Uçak bulutların üzerinde uçuyor.
7;Yurt dışı, yurt dışına;abroad (adv.);/əˈbrɔːd/;ebrod;He wants to study abroad next year.;Gelecek yıl yurt dışında okumak istiyor.
8;Kesin, mutlak;absolute (adj.);/ˈæbsəluːt/;ebsolut;I have absolute trust in you.;Sana güvenim tam/kesin.
9;Kesinlikle, tamamen;absolutely (adv.);/ˈæbsəluːtli/;ebsolutli;You are absolutely right.;Kesinlikle haklısın.
10;Akademik;academic (adj.);/ˌækəˈdemɪk/;ekedemik;The academic year begins in September.;Akademik yıl Eylül'de başlar.
11;Kabul etmek;accept (v.);/əkˈsept/;eksept;Please accept my apology.;Lütfen özrümü kabul et.
12;Kabul edilebilir;acceptable (adj.);/əkˈseptəbl/;ekseptebıl;This noise is not acceptable.;Bu gürültü kabul edilebilir değil.
13;Erişim, ulaşmak;access (n., v.);/ˈækses/;ekses;I don't have access to the internet.;İnternete erişimim yok.
14;Kaza;accident (n.);/ˈæksɪdənt/;eksidınt;He was injured in a car accident.;Bir araba kazasında yaralandı.
15;Konaklama;accommodation (n.);/əˌkɒməˈdeɪʃn/;ekomıdeyşın;Hotel accommodation is included in the price.;Otel konaklaması fiyata dahildir.
16;Eşlik etmek;accompany (v.);/əˈkʌmpəni/;ekampıni;May I accompany you to the door?;Kapıya kadar size eşlik edebilir miyim?
17;-e göre;according to (prep.);/əˈkɔːrdɪŋ tu/;ekording tu;Everything went according to plan.;Her şey plana göre gitti.
18;Hesap, açıklama;account (n., v.);/əˈkaʊnt/;ekaunt;I need to open a bank account.;Bir banka hesabı açmam gerekiyor.
